,names,scores,pvals,pvals_adj
0,APOD,31.004278,4.72E-211,9.44E-208
1,DCN,30.380283,1.00E-202,2.00E-199
2,GSN,29.149391,8.50E-187,1.70E-183
3,CFD,26.491886,1.20E-154,2.40E-151
4,MGP,25.05953,1.37E-138,2.75E-135
5,LUM,24.208357,1.82E-129,3.63E-126
6,CXCL14,22.929071,2.38E-116,4.77E-113
7,ADH1B,22.599033,4.43E-113,8.86E-110
8,COL1A2,21.909445,2.11E-106,4.22E-103
9,ABCA8,21.50246,1.48E-102,2.95E-99
10,MYOC,21.174469,1.64E-99,3.28E-96
11,PTGDS,20.413017,1.28E-92,2.56E-89
12,FBLN2,20.25153,3.44E-91,6.89E-88
13,C3,20.022537,3.50E-89,7.01E-86
14,C1S,19.98946,6.80E-89,1.36E-85
15,IGFBP6,19.690815,2.58E-86,5.17E-83
16,COL6A2,19.493908,1.24E-84,2.47E-81
17,LTBP4,19.383818,1.06E-83,2.11E-80
18,COL6A3,19.04787,6.84E-81,1.37E-77
19,COL6A1,17.74911,1.75E-70,3.50E-67
20,FBLN1,17.135777,8.03E-66,1.61E-62
21,FN1,16.811779,2.00E-63,4.00E-60
22,SMOC2,16.636923,3.76E-62,7.53E-59
23,S100A4,16.599192,7.06E-62,1.41E-58
24,CCDC80,15.890127,7.42E-57,1.48E-53
25,PMP22,15.326309,5.10E-53,1.02E-49
26,CFH,15.219785,2.61E-52,5.23E-49
27,IGFBP7,15.168717,5.70E-52,1.14E-48
28,LRP1,14.398519,5.29E-47,1.06E-43
29,MFAP5,14.350521,1.06E-46,2.11E-43
30,COL3A1,14.220922,6.80E-46,1.36E-42
31,CHRDL1,13.898377,6.48E-44,1.30E-40
32,MMP2,13.654398,1.90E-42,3.80E-39
33,DPT,13.561341,6.79E-42,1.36E-38
34,IGF1,13.2384,5.27E-40,1.05E-36
35,SFRP4,12.347911,5.00E-35,1.00E-31
36,SCN7A,11.916795,9.68E-33,1.94E-29
37,TNXB,11.56705,6.05E-31,1.21E-27
38,NOVA1,11.23163,2.85E-29,5.70E-26
39,CILP,11.113949,1.07E-28,2.15E-25
40,ANGPTL1,10.850063,1.99E-27,3.99E-24
41,ABCA10,10.014273,1.32E-23,2.64E-20
42,COL1A1,9.904017,4.00E-23,8.00E-20
43,MALAT1,8.830816,1.04E-18,2.08E-15
44,PI16,8.072204,6.90E-16,1.38E-12
45,FSTL1,7.975846,1.51E-15,3.03E-12
46,ABCA9,7.97063,1.58E-15,3.16E-12
47,PGF,7.8250213,5.08E-15,1.02E-11
48,ACKR3,7.6030264,2.89E-14,5.79E-11
49,HTRA3,7.592034,3.15E-14,6.30E-11
50,VCAN,7.079217,1.45E-12,2.90E-09
51,DSTN,6.6589284,2.76E-11,5.52E-08
52,EFEMP1,6.620207,3.59E-11,7.17E-08
53,FTL,6.3788676,1.78E-10,3.57E-07
54,FBN1,6.0141687,1.81E-09,3.62E-06
55,GPC3,5.821322,5.84E-09,1.17E-05
56,LAMB1,5.6993484,1.20E-08,2.41E-05
57,CRLF1,5.686837,1.29E-08,2.59E-05
58,SCARA5,5.5533433,2.80E-08,5.61E-05
59,F3,4.6585298,3.18E-06,0.006369518357
60,PLOD1,4.314693,1.60E-05,0.0319649533
61,THBS4,4.1732435,3.00E-05,0.06005874962
62,PDGFRB,3.8265681,0.0001299422547,0.2598845094
63,CYGB,3.8000276,0.0001446799487,0.2893598974
64,AGTR1,3.5867143,0.0003348708728,0.6697417456
65,CTGF,3.516534,0.0004372204185,0.8744408371
66,SLC1A7,3.5141573,0.0004411513358,0.8823026716
67,SELENBP1,3.4636846,0.0005328311318,1
68,SCRG1,3.3177454,0.0009074716437,1
69,G0S2,3.2727852,0.001064933761,1
70,SLC29A1,3.1177351,0.001822464366,1
71,IGFBP5,2.9792235,0.002889798906,1
72,HIC1,2.8838234,0.003928790064,1
73,LAMA4,2.803641,0.005052911882,1
74,PLAGL1,2.7889514,0.005287899101,1
75,SFRP2,2.6715333,0.007550556142,1
76,CPED1,2.6117845,0.009007100449,1
77,PLA2G2A,2.5611465,0.01043273418,1
78,LPCAT2,2.3828573,0.01717885434,1
79,LIFR,2.1712275,0.029913984,1
80,SLPI,2.1536329,0.0312689731,1
81,C7,2.1491766,0.03162041299,1
82,ADM,1.995843,0.04595100665,1
83,PKD1,1.9369855,0.05274711675,1
84,MFGE8,1.9287989,0.05375583144,1
85,CCNL2,1.916684,0.05527807851,1
86,CD248,1.916222,0.05533685214,1
87,SLC38A10,1.8613586,0.06269355037,1
88,GLCE,1.8390436,0.06590877742,1
89,FMOD,1.796031,0.07248958782,1
90,RP11-38P22.2,1.6645505,0.09600247059,1
91,RNF24,1.6130873,0.1067255556,1
92,PIK3IP1,1.5755213,0.1151361472,1
93,ABCA5,1.5733427,0.1156394887,1
94,FAM162B,1.5638027,0.1178639144,1
95,SLC6A1,1.5621191,0.1182599223,1
96,ANGPTL7,1.5386157,0.123898136,1
97,ZCCHC24,1.5274582,0.1266471118,1
98,EPHA3,1.4432156,0.1489597427,1
99,GHR,1.415883,0.1568097677,1
100,MTSS1,1.4091488,0.1587911563,1
101,TPST1,1.3975621,0.162244576,1
102,CYTH3,1.3954165,0.1628902715,1
103,CCL2,1.3705927,0.1705019641,1
104,CDH19,1.3474194,0.1778452053,1
105,ENPP2,1.3232228,0.1857613185,1
106,SLC2A13,1.3026572,0.1926918066,1
107,TGFBR1,1.2947017,0.1954231435,1
108,FAM13A,1.2914337,0.1965533324,1
109,RUNX1T1,1.28942,0.1972520909,1
110,HOXC6,1.2279216,0.2194763828,1
111,KIAA2013,1.2168962,0.2236437247,1
112,CYP1B1,1.2108883,0.2259382292,1
113,PLP1,1.1737186,0.2405077838,1
114,ACAP3,1.1297487,0.2585821496,1
115,AARS,1.035702,0.3003412059,1
116,FZD1,1.0284727,0.3037275348,1
117,CRTC1,1.0220027,0.3067796514,1
118,CXorf23,1.0196589,0.3078902607,1
119,STEAP4,1.0058936,0.3144667776,1
120,VWA1,0.9873747,0.323458979,1
121,DCHS1,0.9802775,0.3269491744,1
122,PON3,0.9676015,0.3332434453,1
123,SKIL,0.94957775,0.3423268358,1
124,MYO9A,0.9015146,0.3673147737,1
125,NR2F2,0.9002602,0.367981793,1
126,NIPAL2,0.8886075,0.3742140443,1
127,IL17RC,0.88844246,0.3743027862,1
128,COLGALT1,0.8834909,0.3769710907,1
129,MYH10,0.8817083,0.3779345448,1
130,CDON,0.87850636,0.3796689996,1
131,TNRC18,0.85734665,0.3912533296,1
132,SLC15A4,0.85487086,0.392622635,1
133,CYP4B1,0.85391355,0.3931528776,1
134,NOL8,0.8450998,0.3980551244,1
135,TBC1D2B,0.8422939,0.3996234611,1
136,DTX4,0.84031326,0.4007327569,1
137,KIAA1109,0.8380356,0.4020107312,1
138,ALPK3,0.8201109,0.4121528871,1
139,SPRY4,0.8159516,0.4145278238,1
140,STARD9,0.8090524,0.4184849993,1
141,RAI2,0.78063047,0.4350198834,1
142,CYP26B1,0.7781877,0.4364583856,1
143,GALNT7,0.7541231,0.450775325,1
144,INMT,0.7513832,0.4524220665,1
145,PLOD2,0.7497657,0.4533958327,1
146,VPS36,0.7465637,0.4553269761,1
147,RNF170,0.73656154,0.4613890384,1
148,C20orf194,0.7344819,0.4626551054,1
149,SCARF2,0.73316145,0.4634599621,1
150,RP11-736K20.5,0.7320391,0.4641447032,1
151,KLF13,0.7282099,0.4664851122,1
152,ACSL3,0.7212117,0.4707792857,1
153,ZYG11B,0.7188019,0.4722629741,1
154,GPR107,0.7068191,0.47967888,1
155,MFAP1,0.70440936,0.481177868,1
156,TEF,0.70345205,0.4817740635,1
157,DAAM2,0.7019666,0.4826999893,1
158,TRIM22,0.69668496,0.4859999866,1
159,TEAD1,0.6947373,0.4872199331,1
160,SENP6,0.67199314,0.5015880613,1
161,CMTM8,0.6649289,0.5060959615,1
162,PARVA,0.6626842,0.507532828,1
163,WBP1L,0.6598123,0.5093742903,1
164,C16orf52,0.6598123,0.5093742903,1
